Year,Month,Day,DOY,Hour,militaryTime,Shade,Transect,Stick,Distance to stick one,Height,HeightRounded,TempAtPoint,MeanTemp,MaxTemp,MinTemp,SDTemp,SETemp
2024,7,14,196,8:00 AM,8,0.5,2,4,27,20,20,28.7,26.43636364,28.7,24,1.601419825,0.482846245
2024,8,2,215,8:00 AM,8,0.5,2,4,27,33,30,32.1,30.62727273,32.5,29.1,1.195902094,0.360578048
2024,8,2,215,8:00 AM,8,0.5,5,1,0,37,40,30.3,26.2,30.3,23.9,1.792205345,0.540370243
2024,6,23,175,8:00 AM,8,0,1,2,2,38,40,23.9,22.70909091,24.8,19.5,1.462500971,0.440960634
2024,6,27,179,8:00 AM,8,0,1,3,7,39,40,23,22.61818182,23.8,21.5,0.59635255,0.179807059
2024,8,18,231,8:00 AM,8,0,1,2,2,39,40,26.5,25.06363636,27,22.5,1.411575522,0.425606034
2024,8,2,215,8:00 AM,8,0,3,4,27,41,40,27.6,27.3,29,25.8,0.82097503,0.247533285
2024,8,2,215,8:00 AM,8,0.5,2,4,27,43,40,32.5,30.62727273,32.5,29.1,1.195902094,0.360578048
2024,8,2,215,8:00 AM,8,0,4,1,0,49,50,28.9,25.88181818,28.9,21.8,2.607611237,0.78622437
2024,6,27,179,8:00 AM,8,0.5,1,1,0,52,50,21.5,21.72727273,22.6,20.9,0.705819962,0.212812726
2024,7,14,196,8:00 AM,8,0.5,5,1,0,58,60,23.8,23.85454545,25.5,21.9,0.991326017,0.29889604
2024,8,18,231,12:00 PM,12,0.5,5,1,0,16,20,43.5,43.19090909,45.7,41.6,1.140574018,0.343896006
2024,6,23,175,12:00 PM,12,0,1,3,7,18,20,43.5,42.24545455,46.5,39.8,2.105879216,0.634946474
2024,7,14,196,12:00 PM,12,0,5,2,2,18,20,42.8,40.70909091,49.3,38,3.557092786,1.072503829
2024,8,18,231,12:00 PM,12,0.5,2,4,27,20,20,50.5,48.96363636,59,46.1,3.878987684,1.169558792
2024,6,9,161,12:00 PM,12,0.5,5,1,0,21,20,21.7,19.9,23.7,17.6,1.949358869,0.587753814
2024,7,21,203,12:00 PM,12,0,3,3,7,23,20,39.3,38.74545455,47.5,35.5,3.577251357,1.078581867
2024,7,21,203,12:00 PM,12,0,4,2,2,23,20,42.9,40.14545455,46.5,35.4,3.700638766,1.11578457
2024,8,18,231,12:00 PM,12,0.5,5,1,0,25,30,43,43.19090909,45.7,41.6,1.140574018,0.343896006
2024,8,18,231,12:00 PM,12,0.5,2,4,27,26,30,48.5,48.96363636,59,46.1,3.878987684,1.169558792
2024,6,23,175,12:00 PM,12,0,3,3,7,27,30,36.7,38.7,52.1,35.9,4.789780788,1.444173246
2024,8,18,231,12:00 PM,12,0.5,4,3,7,27,30,48.4,47.89090909,52.8,45.3,2.859179793,0.862075144
2024,7,14,196,12:00 PM,12,0.5,4,4,27,29,30,25,26.19090909,28,23.4,1.746112565,0.526472747
2024,8,18,231,12:00 PM,12,0,5,2,2,30,30,46.2,46.79090909,56,44.4,3.45614078,1.042065654
2024,7,14,196,12:00 PM,12,0,1,2,2,31,30,42.3,43.81818182,48.8,42,2.404919201,0.725110422
2024,7,21,203,12:00 PM,12,0.5,3,1,0,31,30,31.8,32.76363636,33.9,31.8,0.560843521,0.169100684
2024,8,18,231,12:00 PM,12,0,1,3,7,39,40,40.9,41.19090909,44.5,39.4,1.836003565,0.553575904
2024,8,18,231,12:00 PM,12,1,5,3,7,39,40,47,46.90909091,52.6,44.5,2.61780616,0.789298255
2024,8,2,215,12:00 PM,12,0.5,2,4,27,40,40,55.4,55.25454545,69.5,50.4,5.854974575,1.765341257
2024,8,2,215,12:00 PM,12,0,3,4,27,40,40,53.4,54.73636364,60.6,52.3,2.620790998,0.790198218
2024,7,10,192,12:00 PM,12,0.5,2,4,27,42,40,42.6,43.16363636,53.1,40.2,4.037393399,1.217319912
2024,7,10,192,12:00 PM,12,0.5,2,3,7,43,40,46.8,46.91818182,54.3,40.4,4.074510567,1.22851116
