order,Year,Month,Day,Date,DOY,TOD,Time,Shade,Transect,Stick,Distance to stick one,Height,Temperature,,,,,
1,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,0,11,,,,,
2,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,10,10.2,,,,,
3,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,20,10.5,,,,,
4,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,30,10.9,,,,,
5,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,40,9.6,,,,,
6,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,50,10,,,,,
7,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,60,9.4,,,,,
8,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,70,11.2,,,,,
9,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,80,11.4,,,,,
10,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,90,11.6,,,,,
11,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,1,1,0,100,11.6,,,,,
12,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,0,13,,,,,
13,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,10,12.8,,,,,
14,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,20,12.5,,,,,
15,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,30,11.6,,,,,
16,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,40,11.6,,,,,
17,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,50,11,,,,,
18,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,60,10.7,,,,,
19,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,70,10.7,,,,,
20,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,80,10.7,,,,,
21,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,90,10.7,,,,,
22,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,2,2,100,10.6,,,,,
23,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,0,12.1,,,,,
24,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,10,13.2,,,,,
25,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,20,12.7,,,,,
26,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,30,22.8,,,,,
27,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,40,22.6,,,,,
28,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,50,11.7,,,,,
29,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,60,11.8,,,,,
30,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,70,11.6,,,,,
31,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,80,11.5,,,,,
32,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,90,11.6,,,,,
33,2024,6,9,6/9/2024,161,1,8:00 AM,0,1,3,7,100,11.7,,,,,
34,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,0,12.4,,,,,
35,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,10,13,,,,,
36,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,20,11.8,,,,,
37,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,30,11.7,,,,,
38,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,40,12.1,,,,,
39,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,50,12.6,,,,,
40,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,60,13.3,,,,,
41,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,70,12.8,,,,,
42,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,80,12.9,,,,,
43,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,90,12.8,,,,,
44,2024,6,9,6/9/2024,161,1,8:00 AM,1,2,1,0,100,12.9,,,,,
45,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,0,15.1,,,,,
46,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,10,14.4,,,,,
47,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,20,13,,,,,
48,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,30,11.7,,,,,
49,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,40,12.6,,,,,
50,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,50,13.1,,,,,
51,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,60,18.9,,,,,
52,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,70,11.9,,,,,
53,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,80,10.1,,,,,
54,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,90,10.6,,,,,
55,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,2,2,100,11.1,,,,,
56,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,0,12.7,,,,,
57,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,10,12.5,,,,,
58,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,20,12.1,,,,,
59,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,30,10.8,,,,,
60,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,40,10.1,,,,,
61,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,50,10.8,,,,,
62,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,60,10.6,,,,,
63,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,70,10.5,,,,,
64,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,80,10.5,,,,,
65,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,90,10.1,,,,,
66,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,2,3,7,100,10.5,,,,,
67,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,0,11.4,,,,,
68,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,10,12.2,,,,,
69,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,20,11,,,,,
70,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,30,10.5,,,,,
71,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,40,10,,,,,
72,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,50,9.6,,,,,
73,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,60,9.7,,,,,
74,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,70,9.6,,,,,
75,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,80,9.2,,,,,
76,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,90,9.5,,,,,
77,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,3,1,0,100,9.4,,,,,
78,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,0,13,,,,,
79,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,10,12.8,,,,,
80,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,20,11.9,,,,,
81,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,30,11.9,,,,,
82,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,40,11.1,,,,,
83,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,50,11.1,,,,,
84,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,60,10.5,,,,,
85,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,70,10.7,,,,,
86,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,80,10.5,,,,,
87,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,90,10.5,,,,,
88,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,2,2,100,10,,,,,
